año;mes;sigla;provincia;pacientes_total;tasa_pacientes_total;pacientes_residencias;tasa_pacientes_residencias
2020;Noviembre;PA;Palencia;258;1.688968027;104;2.032043767
2020;Noviembre;ZA;Zamora;325;2.065275412;86;1.85264972
2020;Diciembre;AV;Ávila;182;1.223077182;54;1.258154706
2020;Diciembre;BU;Burgos;442;1.269002742;155;2.049722296
2020;Diciembre;LE;León;651;1.510090466;202;2.374236013
2020;Diciembre;SE;Segovia;144;0.988203323;54;1.666152422
2020;Diciembre;VA;Valladolid;531;1.022973559;169;1.911548467
2019;Enero;AV;Ávila;235;1.564653479;70;1.630941286
2019;Enero;PA;Palencia;257;1.658353391;91;1.778038296
2019;Enero;SE;Segovia;216;1.477114976;78;2.40666461
2019;Febrero;AV;Ávila;204;1.360480703;70;1.630941286
2019;Febrero;PA;Palencia;219;1.415240656;78;1.524032825
2019;Febrero;VA;Valladolid;446;0.850617461;142;1.60615315
2019;Marzo;PA;Palencia;169;1.096669111;51;0.996483001
2019;Abril;AV;Ávila;127;0.852451974;40;0.931966449
2019;Abril;LE;León;327;0.750685259;90;1.057827927
2019;Abril;SO;Soria;55;0.633932688;18;0.639431616
2019;Abril;VA;Valladolid;238;0.457501389;73;0.82569845
2019;Mayo;AV;Ávila;252;1.690503663;85;1.980428705
2019;Mayo;BU;Burgos;486;1.380375939;158;2.08939434
2019;Mayo;LE;León;734;1.684656998;180;2.115655853
2019;Mayo;PA;Palencia;185;1.202110516;73;1.426338413
2019;Mayo;SE;Segovia;222;1.527505419;86;2.653502006
2019;Junio;LE;León;427;0.981489612;108;1.269393512
2019;Junio;VA;Valladolid;376;0.72326052;117;1.323379708
2019;Junio;ZA;Zamora;191;1.195827751;55;1.184834123
2019;Julio;LE;León;570;1.310845058;147;1.727785614
2019;Julio;VA;Valladolid;490;0.942701089;154;1.741884402
2019;Julio;ZA;Zamora;247;1.547599654;77;1.658767773
2019;Agosto;BU;Burgos;266;0.761000172;77;1.01824914
2019;Agosto;LE;León;446;1.026164904;122;1.433944523
2019;Agosto;VA;Valladolid;390;0.750292903;114;1.289446895
2019;Septiembre;BU;Burgos;283;0.808966667;79;1.04469717
2019;Septiembre;LE;León;434;0.998548194;116;1.363422661
2019;Septiembre;SA;Salamanca;326;1.015683904;116;1.457469531
2019;Octubre;SE;Segovia;134;0.920753369;59;1.820425795
2019;Octubre;ZA;Zamora;197;1.236901092;39;0.840155106
2019;Noviembre;BU;Burgos;294;0.842175218;94;1.243057392
2019;Noviembre;SA;Salamanca;258;0.803240359;77;0.967458223
2019;Noviembre;VA;Valladolid;345;0.662768181;107;1.210270331
2019;Diciembre;AV;Ávila;133;0.891803455;44;1.025163094
2019;Diciembre;PA;Palencia;126;0.819976182;46;0.898788589
2019;Diciembre;SA;Salamanca;318;0.988600012;95;1.193617289
2019;Diciembre;ZA;Zamora;178;1.120659804;57;1.227919
2019;Enero;LE;León;799;1.816871207;216;2.538787024
2019;Enero;VA;Valladolid;584;1.114070095;189;2.137767221
2019;Enero;ZA;Zamora;306;1.888341037;59;1.271003878
2019;Febrero;BU;Burgos;344;0.972828669;109;1.441417614
2019;Febrero;LE;León;561;1.278877324;161;1.892336624
2019;Febrero;SE;Segovia;155;1.060764709;67;2.06726319
2019;Febrero;SO;Soria;97;1.110716699;20;0.710479574
2019;Marzo;AV;Ávila;151;1.013763008;51;1.188257223
2019;Marzo;BU;Burgos;309;0.876332224;107;1.414969585
2019;Marzo;LE;León;542;1.24028879;152;1.786553832
2019;Marzo;SA;Salamanca;360;1.114364781;114;1.432340746
2019;Marzo;SE;Segovia;126;0.866104386;45;1.388460352
2019;Marzo;SO;Soria;97;1.116713868;24;0.852575488
